step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,reward_decomposition/search_mismatch_count_mean,reward_decomposition/malformed_action_count_mean,reward_decomposition/full_format_valid_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
0,,,,,,,,,,,,,,,,,,,,,,0.02,0.02
1,-1.35,-0.35,0.0,0.5,,,,-0.003,-0.003,-0.084,0.036,-0.001,1.769,7.253,-65.092,0.002,3.0,0.5,0.0,413.5,0.5,,
2,-0.85,-0.35,0.0,0.5,,,,-0.002,-0.002,-0.057,-0.003,0.001,1.58,10.04,-50.006,0.003,3.0,0.5,0.0,460.5,0.5,,
3,-0.9,-0.4,0.0,1.0,,,,-0.002,-0.002,0.0,-0.001,0.001,1.75,7.97,-33.564,0.003,3.0,0.5,0.0,512.0,1.0,,
4,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,0.039,-0.047,-0.0,2.153,6.037,-324.59,-0.001,3.0,1.0,0.0,451.0,0.5,,
5,-0.75,-0.25,0.0,0.0,,,,-0.001,-0.001,-0.001,0.003,-0.002,1.289,4.556,-46.864,-0.002,3.0,0.5,0.0,503.0,0.5,,
6,-1.075,-0.575,0.0,1.0,,,,-0.003,-0.003,-0.054,-0.005,0.0,1.315,2.387,-14.378,0.002,3.0,0.5,0.0,364.5,0.5,,
7,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.02,0.003,-0.0,1.575,1.767,-143.969,-0.001,3.0,1.0,0.0,483.0,0.5,,
8,-0.9,-0.4,0.0,0.5,,,,-0.003,-0.003,0.014,0.001,0.001,1.216,1.592,-15.13,-0.001,3.0,0.5,0.5,325.0,0.5,,
9,-0.95,-0.45,0.0,1.0,,,,-0.002,-0.002,-0.015,0.03,0.001,1.553,1.707,-8.235,0.0,3.0,0.0,0.0,477.0,0.5,,
10,-0.85,-0.35,0.0,0.5,,,,-0.002,-0.002,0.04,-0.038,0.002,1.321,1.496,-8.123,0.003,3.0,0.0,0.0,398.5,0.5,,
11,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.016,-0.082,0.001,1.619,1.179,-123.588,-0.0,3.0,0.0,0.0,435.5,0.5,,
12,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,0.006,0.013,0.002,1.451,1.039,-129.929,0.002,3.0,0.5,0.0,489.5,0.5,,
13,-0.375,-0.375,0.0,0.0,,,,-0.001,-0.001,-0.006,-0.001,0.002,1.487,1.081,-37.947,-0.002,3.0,1.0,0.0,507.0,0.5,,
14,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,-0.02,-0.025,0.001,1.804,0.845,-86.071,0.001,3.0,0.5,0.0,490.0,0.5,,
15,-0.65,-0.15,0.0,0.0,,,,-0.002,-0.002,0.141,0.016,0.0,1.094,0.735,-2.513,-0.007,2.0,0.0,0.5,225.0,0.5,,
16,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.0,-0.0,0.0,0.003,1.608,0.388,-32.395,-0.004,3.0,0.5,0.0,512.0,1.0,,
