step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
0,,,,,,,,,,,,,,,,,,,0.02,0.02
1,-1.375,-0.375,0.0,0.5,-0.003,-0.003,-0.012,0.015,0.0,2.125,10.004,-70.4,-0.004,3.0,1.5,0.0,485.5,0.5,,
2,-0.925,-0.425,0.0,0.5,-0.002,-0.002,-0.033,0.043,0.0,1.59,11.807,-68.06,0.001,3.0,1.0,0.0,422.5,0.5,,
3,-0.2,-0.2,0.0,0.0,-0.0,-0.0,-0.001,-0.001,-0.002,2.359,5.309,-1218.466,-0.001,3.0,1.0,0.0,504.0,0.5,,
4,-0.85,-0.35,0.0,0.5,-0.002,-0.002,0.002,0.009,0.002,1.224,4.692,-32.021,0.002,3.0,0.0,0.0,458.5,0.5,,
5,-0.425,-0.425,0.0,0.0,-0.001,-0.001,-0.112,-0.016,-0.0,0.948,3.798,-162.092,-0.0,3.0,0.5,0.0,438.0,0.5,,
6,-0.425,-0.425,0.0,0.0,-0.001,-0.001,0.004,-0.005,-0.003,1.061,1.359,-79.517,-0.001,3.0,0.5,0.0,388.0,0.5,,
7,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.012,0.004,0.0,1.478,1.281,-149.79,-0.001,3.0,0.0,0.0,467.0,0.5,,
8,-0.8,-0.3,0.0,0.0,-0.002,-0.002,0.073,0.026,0.0,0.979,1.536,-9.807,0.0,3.0,0.0,0.0,442.5,0.5,,
9,-0.375,-0.375,0.0,0.0,-0.001,-0.001,0.025,0.002,0.0,1.683,1.005,-49.788,-0.002,3.0,1.0,0.0,476.0,0.5,,
10,0.125,-0.375,0.5,0.0,0.0,0.0,-0.017,-0.011,0.002,1.821,0.832,-19.522,-0.0,3.0,0.5,0.5,490.0,0.5,,
11,-0.7,-0.2,0.0,0.0,-0.001,-0.001,0.0,0.001,-0.002,1.763,1.026,-12.326,0.003,3.0,1.0,0.0,512.0,1.0,,
12,-1.2,-0.2,0.0,0.0,-0.002,-0.002,-0.0,0.001,-0.002,1.609,0.638,-7.139,0.0,3.0,1.0,0.0,512.0,1.0,,
13,-0.3,-0.3,0.0,0.0,-0.001,-0.001,-0.03,0.015,-0.0,1.645,0.461,-33.843,0.004,3.0,1.0,0.0,449.0,0.5,,
14,-0.75,-0.25,0.0,0.0,-0.001,-0.001,0.0,-0.001,0.001,1.695,0.577,-2.68,-0.008,3.0,0.5,0.0,512.0,1.0,,
15,-0.25,-0.25,0.0,0.0,-0.0,-0.0,-0.113,0.032,-0.0,1.654,0.637,-29.934,-0.009,3.0,0.5,0.0,464.5,0.5,,
